iter	RMSE
134	59.09182185
135	58.76892187
136	58.42849931
137	58.06468947
138	57.28692821
139	56.9804114
140	56.65138907
141	56.35228554
142	56.0622599
143	55.75916982
144	55.4591383
145	55.15699567
146	54.87218148
147	54.58063476
148	53.81615141
149	53.01829438
150	52.32078228
151	51.70868402
152	51.44256293
153	51.1093212
154	50.82087641
155	50.10407881
156	49.87798639
157	49.3251297
158	49.08555186
159	48.87598185
160	48.65472784
161	48.43937912
162	47.92002745
163	47.21016262
164	46.993831
165	46.68863224
166	46.46578516
167	45.81748944
168	45.59682967
169	45.09059603
170	44.72986144
171	44.28412041
172	44.07980544
173	43.8821235
174	43.31058866
175	42.79122205
176	42.37873475
177	42.2182601
178	41.71394634
179	41.25689804
180	41.08956894
181	40.65671449
182	40.42309267
183	39.98055239
184	39.56626997
185	39.39067494
186	39.22212669
187	39.0575518
188	38.88043446
189	38.69553112
190	38.28751145
191	37.90985262
192	37.73423273
193	37.3293563
194	37.17881594
195	37.017399
196	36.86399911
197	36.50216029
198	36.18761417
199	35.77581666
200	35.5461603
201	35.40667555
202	35.06461797
203	34.93510884
204	34.799156
205	34.63651032
206	34.29238418
207	34.04032375
208	33.89810463
209	33.53764442
210	33.20912186
211	32.91388256
212	32.64643673
213	32.35555403
214	32.04686932
215	31.79960342
216	31.56628269
217	31.44868233
218	31.34386251
219	31.25024762
220	31.09899888
221	30.81445297
222	30.71727928
223	30.62528022
224	30.35315235
225	30.15506594
226	30.06297562
227	29.79616454
228	29.7006311
229	29.48911933
230	29.30692587
231	29.22020091
232	28.99446775
233	28.89013177
234	28.70391835
235	28.62901434
236	28.55582822
237	28.35921221
238	28.15656369
239	28.08082919
240	27.88040007
241	27.8066781
242	27.6083743
243	27.45160856
244	27.38535431
245	27.19627111
246	27.11888274
247	27.03569123
248	26.97354656
249	26.82525456
250	26.72075656
251	26.55732225
252	26.34765841
253	26.27919995
254	26.10170709
255	25.91065744
256	25.73696921
257	25.60803126
258	25.54399764
259	25.36029663
260	25.21689452
261	25.0755169
262	24.93029546
263	24.8693729
264	24.76702653
265	24.60255091
266	24.53515634
267	24.47616418
268	24.35062578
269	24.21617663
270	24.07596073
271	24.0138873
272	23.95396919
273	23.8220019
274	23.76893526
275	23.65049219
276	23.52789375
277	23.38773619
278	23.30660965
279	23.22828097
280	23.05279866
281	22.94820288
282	22.80750919
283	22.66703097
284	22.53945644
285	22.44638592
286	22.29214891
287	22.18528923
288	22.07522987
289	21.96889924
290	21.85966782
291	21.70509439
292	21.60644863
293	21.52040289
294	21.48060195
295	21.38158893
296	21.28821527
297	21.2189566
298	21.15727377
299	21.04860563
300	21.00329553
301	20.96165821
302	20.87469162
303	20.78932381
304	20.69594079
305	20.60548072
306	20.47801448
307	20.43766839
308	20.30148716
309	20.21556999
310	20.18051036
311	20.12466313
312	20.04420125
313	19.95420955
314	19.84856124
315	19.81539044
316	19.71061053
317	19.63721965
318	19.60713184
319	19.57109546
320	19.5389755
321	19.47618305
322	19.41094742
323	19.30045933
324	19.24822442
325	19.16655596
326	19.13374932
327	19.10160307
328	19.02974176
329	18.95853598
330	18.92645265
331	18.83460548
332	18.72883505
333	18.66296302
334	18.63703503
335	18.60784259
336	18.56207362
337	18.49830805
338	18.38525755
339	18.3579811
340	18.28830649
341	18.2620226
342	18.17245918
343	18.14575173
344	18.07429133
345	18.01174951
346	17.98569572
347	17.96502163
348	17.86364447
349	17.84006458
350	17.81700321
351	17.78252906
352	17.7622399
353	17.65580333
354	17.60570856
355	17.58290964
356	17.52186261
357	17.46894901
358	17.45721633
359	17.4047915
360	17.38681011
361	17.38217125
362	17.30102649
363	17.22588204
364	17.16467498
365	17.07247284
366	16.99855744
367	16.93145973
368	16.91269028
369	16.88650265
370	16.8227669
371	16.79623349
372	16.78838626
373	16.70743265
374	16.65490605
375	16.58208094
376	16.57055883
377	16.50023605
378	16.42935513
379	16.3468982
380	16.25705199
381	16.17203561
382	16.09898264
383	16.07920892
384	16.01934427
385	15.94810393
386	15.9257285
387	15.88046079
388	15.83394949
389	15.7702484
390	15.70224394
391	15.68649937
392	15.63892706
393	15.54417796
394	15.52288704
395	15.51736621
396	15.47305877
397	15.45970232
398	15.44152497
399	15.37494173
400	15.3481683
401	15.27192919
402	15.21204941
403	15.19963678
404	15.14919693
405	15.09899442
406	15.04752651
407	15.01179276
408	14.96101731
409	14.89378096
410	14.82375479
411	14.75450361
412	14.72158769
413	14.70585119
414	14.69351619
415	14.68198755
416	14.66349033
417	14.65069068
418	14.60383828
419	14.5508699
420	14.53671876
421	14.52395311
422	14.46434472
423	14.45301089
424	14.38241779
425	14.33856926
426	14.32612787
427	14.28433853
428	14.22925999
429	14.17382079
430	14.12076412
431	14.07983255
432	14.0687665
433	14.0542048
434	14.03837148
435	13.98094771
436	13.94674269
437	13.91466064
438	13.86656799
439	13.85582478
440	13.80024166
441	13.78992799
442	13.78744834
443	13.75619398
444	13.69586216
445	13.63786397
446	13.62585743
447	13.56616062
448	13.52165071
449	13.46582193
450	13.45584895
451	13.44947181
452	13.43980474
453	13.40176467
454	13.35429329
455	13.30205473
456	13.2492053
457	13.19594373
458	13.17211673
459	13.11621997
460	13.06323599
461	13.01736351
462	13.01192248
463	12.97526563
464	12.96617411
465	12.93107528
466	12.92460339
467	12.89778071
468	12.85651203
469	12.82442023
470	12.78249507
471	12.77594504
472	12.77334746
473	12.77176965
474	12.74364088
475	12.69291298
476	12.65487252
477	12.65247911
478	12.61878635
479	12.57420283
480	12.55065526
481	12.51104427
482	12.4744597
483	12.47194896
484	12.46608723
485	12.45916869
486	12.44056621
487	12.40219159
488	12.38796814
489	12.35463266
490	12.31010957
491	12.29608695
492	12.25665877
493	12.21972052
494	12.18514456
495	12.14171958
496	12.13502455
497	12.1059478
498	12.08999703
499	12.05460758
