iter	Passed	Remaining
402	15008	3612
403	15043	3574
404	15081	3537
405	15117	3500
406	15152	3462
407	15187	3424
408	15226	3387
409	15260	3349
410	15296	3312
411	15331	3274
412	15370	3237
413	15405	3200
414	15442	3162
415	15482	3126
416	15518	3088
417	15554	3051
418	15590	3013
419	15632	2977
420	15673	2941
421	15713	2904
422	15755	2868
423	15792	2830
424	15831	2793
425	15869	2756
426	15909	2719
427	15948	2682
428	15985	2645
429	16023	2608
430	16060	2571
431	16098	2534
432	16129	2495
433	16168	2458
434	16205	2421
435	16242	2384
436	16278	2346
437	16313	2309
438	16352	2272
439	16386	2234
440	16429	2198
441	16500	2165
442	16560	2130
443	16609	2094
444	16650	2057
445	16693	2021
446	16733	1984
447	16782	1947
448	16828	1911
449	16880	1875
450	16928	1839
451	16994	1804
452	17039	1767
453	17081	1730
454	17126	1693
455	17165	1656
456	17205	1618
457	17245	1581
458	17282	1543
459	17325	1506
460	17366	1469
461	17410	1432
462	17453	1394
463	17489	1356
464	17525	1319
465	17558	1281
466	17582	1242
467	17622	1204
468	17664	1167
469	17702	1129
470	17740	1092
471	17781	1054
472	17820	1017
473	17851	979
474	17891	941
475	17925	903
476	17963	866
477	18016	829
478	18054	791
479	18091	753
480	18138	716
481	18187	679
482	18237	641
483	18279	604
484	18318	566
485	18359	528
486	18396	491
487	18432	453
488	18471	415
489	18508	377
490	18545	339
491	18584	302
492	18624	264
493	18667	226
494	18702	188
495	18736	151
496	18773	113
497	18811	75
498	18845	37
499	18883	0
