iter	MultiClass
0	0.9779438554
1	0.874285998
2	0.7307588633
3	0.6848805985
4	0.6367615674
5	0.5849427989
6	0.5431761001
7	0.5016121313
8	0.4685501718
9	0.4320451827
10	0.4123800089
11	0.3896437809
12	0.3666936279
13	0.3492993232
14	0.327530624
15	0.3097302188
16	0.2957545801
17	0.282990614
18	0.2703045775
19	0.2595145499
20	0.2495040282
21	0.2393903611
22	0.2297071394
23	0.2200843194
24	0.205153531
25	0.1982638559
26	0.1909139068
27	0.1795189178
28	0.1659480752
29	0.1612627718
30	0.1556457297
31	0.1496529581
32	0.1444959668
33	0.1415906711
34	0.1383400364
35	0.1351056268
36	0.1306935931
37	0.1239196454
38	0.1187634164
39	0.1126496416
40	0.109712513
41	0.1061576176
42	0.1022344845
43	0.09899499964
44	0.09455771301
45	0.09188532306
46	0.08967102646
47	0.08704684544
48	0.08508227305
49	0.08210699519
50	0.07899222499
51	0.07766470914
52	0.07597591501
53	0.0747813702
54	0.0736693254
55	0.07216297114
56	0.07019744025
57	0.06917013518
58	0.06693805154
59	0.06445935435
60	0.06330550606
61	0.06203733664
62	0.06069483211
63	0.05931124321
64	0.05838085204
65	0.0574878293
66	0.05604027991
67	0.05525603225
68	0.05393183704
69	0.05267550203
70	0.05189007007
71	0.05074813641
72	0.05017371264
73	0.04900319858
74	0.04828313697
75	0.04759007139
76	0.04680224656
77	0.04613653355
78	0.04503535124
79	0.04414257985
80	0.04291194641
81	0.04175986676
82	0.04115676596
83	0.04075068697
84	0.04013698891
85	0.03889795085
86	0.03834292647
87	0.03773406993
88	0.03719644462
89	0.0368309298
90	0.03634620011
91	0.03592266757
92	0.03531519599
93	0.03489783994
94	0.0345820957
95	0.03412476754
96	0.03388576163
97	0.03357265047
98	0.03321831707
99	0.0326902031
